No	Protein	Protein	Class
1	CG10002	CG11899	1
2	CG10002	CG15224	1
3	CG10002	CG1925	1
4	CG10002	CG4959	1
5	CG10002	CG6238	1
6	CG10002	CG6459	1
7	CG10002	CG7081	1
8	CG10007	CG11205	1
9	CG10019	CG3953	1
10	CG10059	CG13142	1
11	CG10059	CG15136	1
12	CG10061	CG10159	1
13	CG10061	CG8010	1
14	CG10068	CG32016	1
15	CG10068	CG6608	1
16	CG10069	CG1417	1
17	CG1007	CG18608	1
18	CG1007	CG5102	1
19	CG1007	CG7849	1
20	CG10071	CG14718	1
21	CG10075	CG9911	1
22	CG10078	CG3332	1
23	CG10080	CG4983	1
24	CG10098	CG12363	1
25	CG10098	CG9473	1
26	CG10108	CG1104	1
27	CG10108	CG11486	1
28	CG10108	CG14053	1
29	CG10108	CG14696	1
30	CG10108	CG4057	1
31	CG10108	CG4798	1
32	CG10108	CG5792	1
33	CG10108	CG5933	1
34	CG10108	CG6779	1
35	CG10108	CG7518	1
36	CG10108	CG8598	1
37	CG10109	CG5274	1
38	CG10118	CG11380	1
39	CG10118	CG13620	1
40	CG10118	CG14684	1
41	CG10118	CG15697	1
42	CG10118	CG1825	1
43	CG10118	CG5303	1
44	CG10118	CG6743	1
45	CG10118	CG7757	1
46	CG10120	CG13576	1
47	CG10122	CG6843	1
48	CG10144	CG11183	1
49	CG10149	CG11656	1
50	CG10149	CG14235	1
51	CG10149	CG8725	1
52	CG10153	CG18064	1
53	CG10153	CG5161	1
54	CG10153	CG9577	1
55	CG10154	CG10221	1
56	CG10154	CG10263	1
57	CG10154	CG10305	1
58	CG10154	CG12163	1
59	CG10154	CG13694	1
60	CG10154	CG17369	1
61	CG10154	CG17824	1
62	CG10154	CG17894	1
63	CG10154	CG3180	1
64	CG10154	CG4863	1
65	CG10154	CG9425	1
66	CG10154	CG9653	1
67	CG10158	CG15071	1
68	CG10158	CG1977	1
69	CG10158	CG3810	1
70	CG10159	CG10650	1
71	CG10159	CG13742	1
72	CG10159	CG4959	1
73	CG10159	CG6459	1
74	CG10159	CG8092	1
75	CG10159	CG8216	1
76	CG10161	CG2061	1
77	CG10161	CG6608	1
78	CG10164	CG1163	1
79	CG10164	CG14622	1
80	CG10164	CG32940	1
81	CG10164	CG5408	1
82	CG10164	CG9331	1
83	CG10164	CG9776	1
84	CG10174	CG12081	1
85	CG10189	CG7856	1
86	CG10192	CG13157	1
87	CG10192	CG13427	1
88	CG10192	CG13857	1
89	CG10192	CG14549	1
90	CG10192	CG17018	1
91	CG10192	CG3589	1
92	CG10192	CG3972	1
93	CG10192	CG6684	1
94	CG10192	CG7570	1
95	CG10192	CG7725	1
96	CG10192	CG8251	1
97	CG10198	CG10594	1
98	CG10198	CG4303	1
99	CG10208	CG33070	1
100	CG10209	CG10215	1
101	CG10209	CG10650	1
102	CG10209	CG11525	1
103	CG10209	CG13492	1
104	CG10209	CG15224	1
105	CG10209	CG15525	1
