ID	Protein
0	22
1	25
2	15
3	31
4	17
5	37
6	26
7	42
8	48
9	50
10	51
11	52
12	55
13	7
14	56
15	13
16	57
17	19
18	58
19	49
20	59
21	60
22	47
23	63
24	66
25	67
26	38
27	68
28	1
29	69
30	10
31	20
32	72
33	21
34	73
35	29
36	74
37	82
38	16
39	83
40	88
41	71
42	92
43	93
44	97
45	62
46	102
47	77
48	104
49	75
50	33
51	106
52	107
53	64
54	108
55	9
56	109
57	111
58	112
59	61
60	115
61	30
62	118
63	23
64	120
65	128
66	81
67	129
68	133
69	134
70	53
71	137
72	80
73	139
74	140
75	141
76	142
77	6
78	147
79	151
80	153
81	158
82	159
83	110
84	160
85	161
86	162
87	168
88	35
89	169
90	171
91	4
92	172
93	11
94	173
95	174
96	34
97	175
98	116
99	18
100	176
101	45
102	86
103	178
104	179
105	180
106	183
107	125
108	184
109	126
110	152
111	188
112	177
113	191
114	122
115	192
116	2
117	193
118	195
119	130
120	196
121	198
122	199
123	200
124	203
125	40
126	204
127	187
128	206
129	207
130	214
131	163
132	124
133	217
134	218
135	215
136	220
137	201
138	221
139	222
140	223
141	156
142	146
143	227
144	228
145	231
146	211
147	165
148	232
149	70
150	233
151	234
152	181
153	131
154	235
155	224
156	238
157	241
158	190
159	242
160	219
161	244
162	100
163	246
164	247
165	84
166	248
167	249
168	76
169	95
170	167
171	252
172	8
173	253
174	87
175	39
176	255
177	144
178	256
179	259
180	98
181	260
182	261
183	65
184	262
185	264
186	265
187	266
188	89
189	267
190	123
191	268
192	269
193	91
194	270
195	54
196	272
197	273
198	274
199	225
200	164
201	277
202	276
203	278
204	186
205	281
206	250
207	284
208	285
209	286
210	280
211	119
212	289
213	136
214	229
215	28
216	290
217	291
218	202
219	294
220	296
221	297
222	205
223	298
224	243
225	299
226	101
227	300
228	135
229	5
230	301
231	96
232	302
233	303
234	304
235	78
236	213
237	148
238	305
239	307
240	308
241	150
242	189
243	309
244	310
245	312
246	313
247	314
248	315
249	105
250	121
251	230
252	236
253	251
254	257
255	258
256	114
257	318
258	182
259	275
260	316
261	317
262	319
263	320
264	216
265	321
266	322
267	226
268	323
269	324
270	79
271	325
272	311
273	326
274	44
275	328
276	263
277	329
278	330
279	331
280	332
281	333
282	334
283	335
