ID	Protein
0	NP_663777.1
1	NP_001233.1
2	NP_055436.2
3	NP_001420.2
4	NP_003630.1
5	NP_001073594.1
6	NP_001001998.1
7	NP_067000.1
8	NP_001888.2
9	NP_001782.1
10	NP_001033.1
11	NP_002037.2
12	NP_003001.1
13	NP_006292.2
14	NP_060901.2
15	NP_000199.2
16	NP_001020276.1
17	NP_001895.1
18	NP_005973.1
19	NP_005068.2
20	NP_036377.1
21	NP_005602.2
22	NP_001702.1
23	NP_000079.2
24	NP_003334.2
25	NP_000453.2
26	NP_000124.1
27	NP_000123.1
28	NP_003712.1
29	NP_000529.1
30	NP_003391.1
31	NP_006485.1
32	NP_002801.1
33	NP_038466.2
34	NP_542166.1
35	Q92900
36	NP_005493.2
37	NP_937879.1
38	NP_004214.1
39	NP_004553.1
40	NP_061828.1
41	NP_004055.1
42	NP_001737.1
43	NP_009108.1
44	NP_057661.3
45	NP_004603.1
46	NP_002816.1
47	NP_715638.1
48	NP_000917.3
49	NP_056986.2
50	AAF91084.1
51	NP_003591.2
52	AAH07560.1
53	NP_005150.1
54	NP_056318.1
55	NP_002077.1
56	NP_000741.1
57	NP_004679.1
58	NP_005524.1
59	NP_055191.2
60	NP_003922.1
61	NP_001077362.1
62	NP_008830.2
63	NP_002964.2
64	NP_150634.1
65	NP_003211.1
66	NP_647593.1
67	NP_009297.2
68	NP_057065.2
69	NP_000215.1
70	NP_003945.2
71	NP_000960.2
72	NP_036413.1
73	AAQ86961.1
74	NP_006316.1
75	NP_001020272.1
76	NP_002743.3
77	NP_065853.2
78	NP_000210.2
79	NP_000229.1
80	NP_001757.1
81	CAA45056.1
82	NP_002960.2
83	NP_002537.3
84	NP_000629.3
85	NP_001296.1
86	NP_003248.3
87	NP_061120.2
88	NP_114034.1
89	NP_058633.2
90	NP_000537.3
91	NP_001246.2
92	NP_001202.4
93	NP_001900.1
94	NP_954642.1
95	NP_004916.1
96	NP_002654.2
97	NP_003450.2
98	NP_001275.1
99	NP_892017.2
100	NP_002190.1
101	NP_001092.1
102	NP_060649.3
103	NP_003617.1
104	NP_002831.2
105	NP_000336.1
106	NP_005900.1
107	NP_056477.1
108	NP_203129.1
109	NP_001090.2
110	NP_004439.2
111	NP_004105.1
112	NP_055006.1
113	NP_006249.1
114	NP_002914.1
115	NP_057542.2
116	NP_060116.2
117	NP_004594.1
118	NP_006169.1
119	NP_002625.1
120	NP_116764.2
121	NP_932070.1
122	NP_004228.1
123	NP_001078837.1
124	NP_036437.1
125	NP_001274.1
126	NP_588612.1
127	AAH28049.1
128	NP_005391.1
129	NP_542437.2
130	NP_009298.1
131	NP_058431.2
132	NP_006353.2
133	NP_003601.1
134	NP_002341.1
135	NP_000213.1
136	NP_003870.3
137	NP_002871.1
138	NP_056097.1
139	NP_036457.1
140	NP_115822.1
141	NP_006268.1
142	NP_005334.1
143	AAA59925.1
144	NP_000681.2
145	NP_060942.2
146	NP_008848.1
