ID	Protein
0	NP_612384.1
1	NP_055105.2
2	NP_002855.1
3	AAA50404.1
4	NP_004636.1
5	NP_004851.1
6	NP_478126.1
7	NP_002784.1
8	NP_066921.2
9	NP_001014797.1
10	NP_001886.1
11	NP_932070.1
12	NP_892117.1
13	NP_006618.1
14	NP_006752.1
15	NP_068660.1
16	NP_005569.1
17	NP_542159.2
18	NP_001005.1
19	NP_008998.1
20	AAH32474.1
21	NP_055109.1
22	NP_003173.1
23	NP_060541.3
24	NP_006592.3
25	NP_001017963.1
26	NP_000466.2
27	NP_004227.1
28	NP_060848.2
29	NP_733779.1
30	NP_006218.1
31	NP_000032.1
32	NP_001020272.1
33	NP_000323.2
34	NP_057368.3
35	NP_055330.1
36	NP_079115.1
37	NP_006404.1
38	NP_004171.2
39	NP_079355.1
40	NP_001424.2
41	NP_008973.1
42	NP_116269.2
43	NP_066964.1
44	NP_003160.2
45	NP_004718.1
46	NP_000078.2
47	NP_620305.1
48	NP_060362.3
49	NP_061324.1
50	NP_001895.1
51	NP_006100.2
52	NP_001284.1
53	NP_006829.1
54	NP_001406.1
55	NP_005624.2
56	P15941
57	NP_055525.3
58	NP_005233.3
59	NP_000050.2
60	NP_149075.2
61	NP_002816.1
62	NP_009171.1
63	NP_597709.2
64	NP_002810.1
65	NP_006629.2
66	NP_055844.1
67	NP_055586.1
68	NP_000312.2
69	NP_001456.3
70	NP_057421.1
71	NP_065438.1
72	NP_068595.3
73	NP_004624.1
74	NP_000567.1
75	NP_003874.2
76	NP_689846.1
77	NP_001984.1
78	NP_001020128.1
79	NP_060842.3
80	NP_057227.2
81	NP_003155.2
82	NP_110435.1
83	NP_001367.2
84	NP_061846.2
85	NP_003850.1
86	NP_005501.2
87	NP_001001998.1
88	NP_055260.1
89	NP_001737.1
90	NP_005139.1
91	NP_000724.1
92	NP_003391.1
93	NP_003611.1
94	NP_000960.2
95	NP_689926.1
96	BAD36741.1
97	NP_116024.1
98	NP_066983.1
99	NP_060625.1
100	NP_002961.1
101	NP_065853.2
102	NP_057403.1
103	NP_003644.2
104	NP_116090.2
105	NP_003241.2
106	NP_003724.1
107	NP_001026794.1
108	NP_001420.2
109	NP_000116.2
110	NP_001005743.1
111	AAH14214.1
112	NP_003631.2
113	NP_001547.1
114	NP_055580.1
115	NP_001202.4
116	NP_001247.2
117	NP_064581.2
118	NP_065976.2
119	NP_055456.2
120	NP_005648.1
121	NP_000061.1
122	NP_003485.1
123	NP_071935.1
124	NP_056240.2
125	NP_000536.4
126	NP_006459.3
127	NP_036336.1
128	NP_001311.3
